"POS"	"item"	"cond"	"wp"	"word"	"lemma"	"nchar"	"countForm"	"countLemma"	"listType"	"open"	"cwo"	"owo"
"ART"	1	"AAT"	0	"Il"	"il"	2	4690327	50202323	""	0	1	NA
"NOUN"	1	"AAT"	1	"gallo"	"gallo"	5	3240	4693	""	1	NA	1
"VER:fin"	1	"AAT"	2	"canta"	"cantare"	5	14852	83987	""	1	NA	2
"ART"	2	"AAT"	0	"La"	"la"	2	4222776	42872777	""	0	1	NA
"ADJ"	2	"AAT"	1	"piccola"	"piccolo"	7	146133	646364	""	1	NA	1
"VER:fin"	2	"AAT"	2	"parla"	"parlare"	5	188793	909141	""	1	NA	2
"ADV"	2	"AAT"	3	"già"	"già"	3	1194062	1345572	""	0	2	NA
"AUX:fin"	3	"AAT"	0	"Siamo"	"essere"	5	107959	39239663	""	0	1	NA
"AUX:ppast"	3	"AAT"	1	"stati"	"essere"	5	641601	39239663	""	0	2	NA
"VER:ppast"	3	"AAT"	2	"invitati"	"invitare"	8	27527	183731	""	1	NA	1
"PRE"	3	"AAT"	3	"da"	"da"	2	9235795	9726496	""	0	3	NA
"PRO:pers"	3	"AAT"	4	"lui"	"lui"	3	591334	660247	""	0	4	NA
"PRO:pers"	4	"AAT"	0	"Io"	"io"	2	332176	1251088	""	0	1	NA
"NEG"	4	"AAT"	1	"non"	"non"	3	12571317	14169963	""	0	2	NA
"CLI"	4	"AAT"	2	"ti"	"ti"	2	663082	794114	""	0	3	NA
"VER:fin"	4	"AAT"	3	"presto"	"prestare"	6	158653	130373	""	1	NA	1
"ADV"	4	"AAT"	4	"più"	"più"	3	5212094	5755909	""	0	4	NA
"ART"	4	"AAT"	5	"la"	"la"	2	25477273	42872777	""	0	5	NA
"NOUN"	4	"AAT"	6	"moto"	"moto"	4	80496	94129	""	1	NA	2
"NPR"	5	"AAT"	0	"Carlo"	"Carlo"	5	147209	156483	""	1	NA	1
"NEG"	5	"AAT"	1	"non"	"non"	3	12571317	14169963	""	0	1	NA
"CLI"	5	"AAT"	2	"si"	"si"	2	10181611	11340591	""	0	2	NA
"VER:fin"	5	"AAT"	3	"fa"	"fare"	2	1071079	5664212	""	1	NA	2
"ADV"	5	"AAT"	4	"mai"	"mai"	3	801026	840665	""	0	3	NA
"VER:infi"	5	"AAT"	5	"tagliare"	"tagliare"	8	17329	77283	""	1	NA	3
"ART"	5	"AAT"	6	"i"	"il"	1	11400328	50202323	""	0	4	NA
"NOUN"	5	"AAT"	7	"capelli"	"capello"	7	55301	62687	""	1	NA	4
"CLI"	6	"AAT"	0	"Mi"	"mi"	2	335530	2378234	""	0	1	NA
"AUX:fin"	6	"AAT"	1	"ha"	"avere"	2	5671035	15200401	""	0	2	NA
"VER:ppast"	6	"AAT"	2	"promesso"	"promettere"	8	21210	68113	""	1	NA	1
"PRE"	6	"AAT"	3	"di"	"di"	2	65521116	66604905	""	0	3	NA
"VER:infi"	6	"AAT"	4	"passare"	"passare"	7	128902	589451	""	1	NA	2
"ADV"	6	"AAT"	5	"oggi"	"oggi"	4	791794	951476	""	0	4	NA
"ADJ"	6	"AAT"	6	"stesso"	"stesso"	6	992009	2103808	""	1	NA	3
"PRO:pers"	7	"AAT"	0	"Lui"	"lui"	3	62950	660247	""	0	1	NA
"NEG"	7	"AAT"	1	"non"	"non"	3	12571317	14169963	""	0	2	NA
